text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @Official_LJL: 【#Worlds2019 Knockout Stage Day 1】

本日Day 1ではLPL代表・Invictus GamingがLCK代表・Griffinに勝利、そして同じくLPL代表・FunPlus PhoenixがLEC代表・Fna…",FALSE,0,NA,2019-10-27T01:43:15Z,FALSE,NA,1188269899690336256,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kacky_Peanuts,86,TRUE,FALSE,NA,NA
RT @CaptainFlowers: I'm withdrawing from the rest of #Worlds2019. I got sick right after arriving in EU and I'm just not getting better. I'…,FALSE,0,NA,2019-10-27T01:43:09Z,FALSE,NA,1188269874616795136,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Tsh1mon,126,TRUE,FALSE,NA,NA
"RT @aliciaouteiralf: Ah shit, here we go again #Worlds2019 https://t.co/IXDME3ttYy",FALSE,0,NA,2019-10-27T01:43:09Z,FALSE,NA,1188269874226827264,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Pras_dudu,3,TRUE,FALSE,NA,NA
@unexpectedmi That sub will have a huge meltdown when g2 loses tonight hahah #Worlds2019,FALSE,0,unexpectedmi,2019-10-27T01:42:56Z,FALSE,1188261898178850817,1188269818744434688,70994125,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reggiewafu,0,FALSE,FALSE,NA,NA
RT @sjokz: VAMOS! #WORLDS2019 🇪🇸 https://t.co/4xxh5oCVSI,FALSE,0,NA,2019-10-27T01:42:34Z,FALSE,NA,1188269728458035202,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GaspyPain,1302,TRUE,FALSE,NA,NA
"RT @InvenGlobal: If you’re having a rough day, look at this Beemo doggo 🐝 🐕 - and your day is great again! 🥺

(Via @ hey.kubo and riotgames…",FALSE,0,NA,2019-10-27T01:42:07Z,FALSE,NA,1188269614138089472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PikachuKagamine,67,TRUE,FALSE,NA,NA
RT @FPX_Esports: We are the first LPL first seed to advance to semifinals since 2013! It turned out the so called curses don’t work on a Ph…,FALSE,0,NA,2019-10-27T01:41:20Z,FALSE,NA,1188269417055973377,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",leading_magnet,85,TRUE,FALSE,NA,NA
"RT @FNATIC: The blood on a battlefield comes from those who stood.

But what grows after is colours of a region proud, learned, wounded, st…",FALSE,0,NA,2019-10-27T01:40:49Z,FALSE,NA,1188269286864883713,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_supermightyg,798,TRUE,FALSE,NA,NA
RT @lolesports: No perfect predictions for the first day of the 2019 World Championship Quarterfinals #Worlds2019 https://t.co/DJmz4BW67O,FALSE,0,NA,2019-10-27T01:40:49Z,FALSE,NA,1188269284633411584,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SummonerSchool_,118,TRUE,FALSE,NA,NA
Los bateadores de los @Nationals (2-1) fuerón durante los dos primeros juegos de esta #Worlds2019 con un plan de tr… https://t.co/09d6AxhYi8,FALSE,0,NA,2019-10-27T01:40:28Z,TRUE,NA,1188269198084136961,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",vic_warrior,0,FALSE,FALSE,NA,NA
